"No.","Time","Source","Destination","Protocol","Length","Info"
"735","2.377041","192.168.8.117","66.22.238.13","UDP","1172","59318  >  50003 Len=1130"
"736","2.377088","192.168.8.117","66.22.238.13","UDP","1172","59318  >  50003 Len=1130"
"737","2.382072","192.168.8.117","66.22.238.13","UDP","1172","59318  >  50003 Len=1130"
"738","2.391292","192.168.8.117","162.159.129.235","TLSv1.2","140","Application Data"
"739","2.398063","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"740","2.398063","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"741","2.398129","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"742","2.398164","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"743","2.398201","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"744","2.398222","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"745","2.401416","66.22.238.13","192.168.8.117","UDP","118","50003  >  59318 Len=76"
"746","2.404300","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"747","2.404414","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"748","2.404448","192.168.8.117","66.22.238.13","UDP","1203","59318  >  50003 Len=1161"
"749","2.404469","192.168.8.117","66.22.238.13","UDP","1204","59318  >  50003 Len=1162"
"750","2.415153","192.168.8.117","66.22.238.13","RTCP","118","Sender Report   "
"751","2.416097","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"752","2.421594","162.159.129.235","192.168.8.117","TCP","54","443  >  51946 [ACK] Seq=1 Ack=173 Win=8 Len=0"
"753","2.431523","192.168.8.117","66.22.238.13","UDP","1241","59318  >  50003 Len=1199"
"754","2.431589","192.168.8.117","66.22.238.13","UDP","1241","59318  >  50003 Len=1199"
"755","2.431631","192.168.8.117","66.22.238.13","UDP","1241","59318  >  50003 Len=1199"
"756","2.431652","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"757","2.431693","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"758","2.437508","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"759","2.437508","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"760","2.437581","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"761","2.437594","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"762","2.437604","192.168.8.117","66.22.238.13","UDP","1242","59318  >  50003 Len=1200"
"763","2.454593","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"764","2.466518","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"765","2.466635","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"766","2.466717","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"767","2.466785","192.168.8.117","66.22.238.13","UDP","1225","59318  >  50003 Len=1183"
"768","2.466821","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"769","2.466871","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"770","2.471760","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"771","2.471876","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"772","2.471936","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"773","2.471990","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"774","2.472017","192.168.8.117","66.22.238.13","UDP","1226","59318  >  50003 Len=1184"
"775","2.476846","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"776","2.484846","192.168.8.117","66.22.238.13","UDP","50","59318  >  50003 Len=8"
"777","2.487834","192.168.8.117","66.22.238.4","RTCP","94","Receiver Report   "
"778","2.498282","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"779","2.503973","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"780","2.504084","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"781","2.504108","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"782","2.504136","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"783","2.504156","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"784","2.504174","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"785","2.506991","192.168.8.117","66.22.238.13","RTCP","102","Sender Report   "
"786","2.509162","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"787","2.509239","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"788","2.509261","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"789","2.509288","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"790","2.515141","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"791","2.515141","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"792","2.536306","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"793","2.536306","192.168.8.117","66.22.238.13","UDP","1154","59318  >  50003 Len=1112"
"794","2.536412","192.168.8.117","66.22.238.13","UDP","1154","59318  >  50003 Len=1112"
"795","2.536454","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"796","2.536474","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"797","2.536507","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"798","2.541499","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"799","2.541601","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"800","2.541637","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"801","2.541659","192.168.8.117","66.22.238.13","UDP","1155","59318  >  50003 Len=1113"
"802","2.549759","66.22.238.13","192.168.8.117","UDP","126","50003  >  59318 Len=84"
"803","2.553013","66.22.238.13","192.168.8.117","UDP","50","50003  >  59318 Len=8"
"804","2.559029","192.168.8.117","66.22.238.4","UDP","85","57430  >  50020 Len=43"
"805","2.564171","66.22.238.4","192.168.8.117","UDP","298","50020  >  57430 Len=256"
"806","2.564635","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"807","2.564725","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"808","2.564752","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"809","2.564771","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"810","2.564790","192.168.8.117","66.22.238.13","UDP","1166","59318  >  50003 Len=1124"
"811","2.567491","66.22.238.4","192.168.8.117","UDP","314","50020  >  57430 Len=272"
